raw_name,canonical_name,is_supplement,n_mentions,reviewed,notes
Magnesio,Magnesium,True,10,no,
Menofix,Menofix,True,10,no,
Myo-Inositol,Myo-Inositol,True,10,no,
this,Not answerable,False,10,no,
Pepcid,Pepcid,True,10,no,
pomegranate,Pomegranate,True,10,no,
The New Perimenopause,The New Perimenopause,False,10,no,
B6,Vitamin B6,True,10,no,
vitamin K2,Vitamin K,True,10,no,
collagen product,Collagen,True,9,no,
Estroven,Estroven,True,9,no,
Ever Balance,Ever Balance,False,9,no,
Fiber GDX,Fiber,True,9,no,
GLP-1,GLP-1,True,9,no,
lion's mane,Lion's Mane,True,9,no,
Meno Chill,Meno Chill,True,9,no,
Menopause Plus,Menopause Plus,True,9,no,
Omega-3 fatty acids,Omega-3,True,9,no,
Snap Supplements Perimenopause Support,Perimenopause Support,True,9,no,
Pregnenolone,Pregnenolone,True,9,no,
vitamin B complex,Vitamin B,True,9,no,
B-complex,B-Complex,True,8,no,
biotin,Biotin,True,8,no,
chia seeds,Chia Seeds,True,8,no,
Creatina,Creatine,True,8,no,
dong quai,Dong Quai,True,8,no,
ginger,Ginger,True,8,no,
Hormone Balance,Hormone Balance,True,8,no,
Komi Wellness Hormone Harmony,Hormone Harmony,True,8,no,
Hormone therapy,Hormone Therapy,False,8,no,
Kind Patches,Kind Patches,False,8,no,
Lioness Ready Performance,Lioness Ready Performance,False,8,no,
Maca Root,Maca Root,True,8,no,
magnesium L-threonate,Magnesium,True,8,no,
Meno,Meno,True,8,no,
milk thistle,Milk Thistle,True,8,no,
not applicable,Not applicable,False,8,no,
healthy fats,Omega-3,False,8,no,
fish oil,Omega-3,True,8,no,
prebiotic,Prebiotic,True,8,no,
Protein powder,Protein,True,8,no,
Quercetin,Quercetin,True,8,no,
saffron,Saffron,True,8,no,
vitamin A,Vitamin A,True,8,no,
vitamin B,Vitamin B,True,8,no,
vitamina D,Vitamin D,True,8,no,
Zinc,Zinc,True,8,no,
these,these,False,8,no,
alcohol,Alcohol,False,7,no,
apple cider vinegar,Apple Cider Vinegar,True,7,no,
Natrava Beets,Beets,True,7,no,
Collagen Therapy,Collagen,True,7,no,
Estrovera,Estrovera,True,7,no,
happy juice,Happy Juice,False,7,no,
bioidentical hormones,Hormones,False,7,no,
Magnesium L-threonate,Magnesium,True,7,no,
multivitamins,Multivitamin,True,7,no,
Omega 3 fatty acids,Omega-3,True,7,no,
Perimenopause supplement,Perimenopause,True,7,no,
Primal Queen,Primal Queen,True,7,no,
Pro Menopause Support,Pro Menopause Support,True,7,no,
protein supplement,Protein,True,7,no,
resveratrol,Resveratrol,True,7,no,
sugar,Sugar,False,7,no,
vitamin D3 with K2,Vitamin D,True,7,no,
vitex,Vitex,True,7,no,
yogurt,Yogurt,False,7,no,
Allegra,Allegra,True,6,no,
Amberen Complete Menopause Relief,Amberen,True,6,no,
antidepressants,Antidepressants,False,6,no,
BCAAs,BCAAs,True,6,no,
Beam Glow,Beam Glow,False,6,no,
Biotin,Biotin,True,6,no,
blueberries,Blueberries,False,6,no,
chamomile,Chamomile,True,6,no,
cinnamon,Cinnamon,True,6,no,
Dong Quai,Dong Quai,True,6,no,
Dr. Haver’s supplements,Dr. Haver's Supplements,True,6,no,
Flonase,Flonase,False,6,no,
Fortibone,Fortibone,True,6,no,
ginseng,Ginseng,True,6,no,
Greek yogurt,Greek Yogurt,False,6,no,
Hormone Replacement Therapy (HRT),Hormone Replacement Therapy,False,6,no,
Inositol,Inositol,True,6,no,
Iron,Iron,True,6,no,
Krill oil,Krill Oil,True,6,no,
lemon balm,Lemon Balm,True,6,no,
magnesium malate,Magnesium,True,6,no,
Meno Active,Meno Active,True,6,no,
Menoelle Plus,Menoelle Plus,True,6,no,
menopausal hormone therapy,Menopausal Hormone Therapy,False,6,no,
menopause hormone therapy,Menopause Hormone Therapy,False,6,no,
Menopause Multivitamin 40+,Menopause Multivitamin,True,6,no,
Menopause spray,Menopause spray,False,6,no,
Narie Menopause Care,Narie,True,6,no,
phosphatidylserine,Phosphatidylserine,True,6,no,
Phytoadapt,Phytoadapt,True,6,no,
psyllium husk,Psyllium Husk,True,6,no,
Rajgira,Rajgira,True,6,no,
Red Clover,Red Clover,True,6,no,
Resveratrol,Resveratrol,True,6,no,
rhodiola,Rhodiola,True,6,no,
rose,Rose,False,6,no,
Sage,Sage,True,6,no,
The Perimenopause Survival Guide,The Perimenopause Survival Guide,False,6,no,
vitamin,Vitamin,True,6,no,
Vitamin A,Vitamin A,True,6,no,
Vitamins C & B6,Vitamin C,True,6,no,
vitamin d,Vitamin D,True,6,no,
D3,Vitamin D,True,6,no,
Vitex,Vitex,True,6,no,
Vyleesi,Vyleesi,True,6,no,
walnuts,walnuts,False,6,no,
Alkaline water,Alkaline Water,False,5,no,
Aloe Vera,Aloe Vera,True,5,no,
Anti-Inflammation score,Anti-Inflammation,False,5,no,
avocado,Avocado,False,5,no,
brain fog,Brain Fog,False,5,no,
Chasteberry,Chasteberry,True,5,no,
colágeno,Collagen,True,5,no,
DAO Enzymes,DAO Enzymes,True,5,no,
Digestive Enzymes,Digestive Enzymes,True,5,no,
elinzanetant,Elinzanetant,False,5,no,
evening primrose,Evening Primrose,True,5,no,
fibre supplement,Fiber,True,5,no,
flaxseeds,Flaxseed,True,5,no,
Free Resources from Tamsen,Free Resources,False,5,no,
GLP-1s,GLP-1,True,5,no,
gabapentin,Gabapentin,True,5,no,
Ginger,Ginger,True,5,no,
L-glutamine,Glutamine,True,5,no,
Hormone Replacement Therapy,Hormone Replacement Therapy,False,5,no,
hyaluronic acid,Hyaluronic Acid,True,5,no,
Key for her,Key for her,False,5,no,
Komi Wellness Supplements,Komi,True,5,no,
krill oil,Krill Oil,True,5,no,
DGL (Deglycyrrhizinated Licorice),Licorice,True,5,no,
Lion's Mane,Lion's Mane,True,5,no,
magnesium bisglycinate,Magnesium,True,5,no,
Magnesium L-Threonate,Magnesium,True,5,no,
magnésio,Magnesium,True,5,no,
magnesio,Magnesium,True,5,no,
Marshmallow Root,Marshmallow Root,True,5,no,
Mediterranean diet,Mediterranean Diet,False,5,no,
Black Girl Vitamins Meno Chill,Meno Chill,True,5,no,
Black Girl Vitamins Meno-Chill,Meno-Chill,True,5,no,
Menoligna,Menoligna,True,5,no,
Menopause Relief Bracelet,Menopause Relief,False,5,no,
For Women Menopause Support,Menopause Support,True,5,no,
Multivitamin Women 40+,Multivitamin,True,5,no,
myo-inositol,Myo-Inositol,True,5,no,
berries,Not a supplement,False,5,no,
menopause supplements,Not answerable,False,5,no,
supplement,Not answerable,False,5,no,
Nutrafol Women's Balance,Nutrafol,True,5,no,
Omega‑3,Omega-3,True,5,no,
pregnenolone,Pregnenolone,True,5,no,
micronized progesterone,Progesterone,True,5,no,
Provitalize,Provitalize,True,5,no,
reishi,Reishi,True,5,no,
SSRIs,SSRI,False,5,no,
Shilajit,Shilajit,True,5,no,
sleep,Sleep,False,5,no,
Sleep Harmony,Sleep Harmony,False,5,no,
sleep supplement,Sleep Supplement,True,5,no,
Slippery Elm,Slippery Elm,True,5,no,
stinging nettle,Stinging Nettle,True,5,no,
Testosterone,Testosterone,True,5,no,
wild yam,Wild Yam,True,5,no,
tofu,tofu,False,5,no,
adaptogens,Adaptogens,True,4,no,
Addyi,Addyi,True,4,no,
Alloy,Alloy,False,4,no,
antioxidants,Antioxidants,True,4,no,
Astaxanthin,Astaxanthin,True,4,no,
BHRT,BHRT,True,4,no,
banana,Banana,False,4,no,
bone broth,Bone Broth,True,4,no,
broccoli,Broccoli,False,4,no,
carbs,Carbs,False,4,no,
chlorophyll drops,Chlorophyll,True,4,no,
Claritin,Claritin,False,4,no,
Coenzyme Q10,Coenzyme Q10,True,4,no,
collagen peptides,Collagen,True,4,no,
cream,Cream,False,4,no,
digestive enzymes,Digestive Enzymes,True,4,no,
Electrolytes,Electrolytes,True,4,no,
electrolytes,Electrolytes,True,4,no,
estradiol patches,Estradiol,False,4,no,
EverBalance,EverBalance,True,4,no,
ferritin,Ferritin,False,4,no,
fibre,Fiber,True,4,no,
flax oil,Flax Oil,True,4,no,
Focus+,Focus,True,4,no,
folate,Folate,True,4,no,
GABA,GABA,True,4,no,
Ginseng,Ginseng,True,4,no,
glycine,Glycine,True,4,no,
green tea,Green Tea,True,4,no,
Hormonal Complex,Hormonal Complex,True,4,no,
hormone replacement,Hormone Replacement,False,4,no,
Hormone replacement therapy,Hormone Replacement Therapy,False,4,no,
bioidentical hormone replacement therapy,Hormone Replacement Therapy,False,4,no,
magnesium complex,Magnesium,True,4,no,
GLOWWA Meno,Meno,True,4,no,
Meno Menopause Vitamin Capsules,Meno Menopause,True,4,no,
Meno Menopause Vitamins,Meno Menopause Vitamins,True,4,no,
Meno Relief patches,Meno Relief,True,4,no,
MenoSlim Advanced,MenoSlim,True,4,no,
Kiko Vitals Menopause Balance,Menopause Balance,True,4,no,
Metodo Menopausa Insieme,Metodo Menopausa Insieme,False,4,no,
Moringa,Moringa,True,4,no,
Multivitamins,Multivitamin,True,4,no,
Multivitamínico,Multivitamin,True,4,no,
gummies,Not a supplement,False,4,no,
fermented foods,Not a supplement,False,4,no,
exercise,Not a supplement,False,4,no,
portable fan,Not a supplement,False,4,no,
ROC,Not answerable,False,4,no,
Nugenix for Women Balance,Nugenix,True,4,no,
nuts,Nuts,False,4,no,
omega‑3 fatty acids,Omega-3,True,4,no,
omega 3 fatty acids,Omega-3,True,4,no,
omega,Omega-3,True,4,no,
Ômega 3,Omega-3,True,4,no,
peptides,Peptides,True,4,no,
SNAP Perimeno Health,Perimeno Health,True,4,no,
Snap Supplements Perimeno Health,Perimeno Health,True,4,no,
PhytoAdapt,PhytoAdapt,True,4,no,
phytoestrogen,Phytoestrogen,True,4,no,
progesterone cream,Progesterone,True,4,no,
oral progesterone,Progesterone,True,4,no,
oral micronized progesterone,Progesterone,True,4,no,
Progesterone therapy,Progesterone,True,4,no,
pumpkin seeds,Pumpkin Seeds,True,4,no,
Red clover,Red Clover,True,4,no,
Rhodiola,Rhodiola,True,4,no,
ricotta,Ricotta,False,4,no,
Saffron,Saffron,True,4,no,
soybeans,Soy,True,4,no,
spironolactone,Spironolactone,True,4,no,
sweet potato,Sweet Potato,False,4,no,
thyroid,Thyroid,False,4,no,
valerian,Valerian,True,4,no,
Vitamin B Complex,Vitamin B,True,4,no,
Vit D,Vitamin D,True,4,no,
vitamin d supplement,Vitamin D,True,4,no,
vitamin D3 and K2,Vitamin D,True,4,no,
Water,Water,False,4,no,
Wild Yam Cream,Wild Yam,True,4,no,
Winona,Winona,False,4,no,
Yuzucare Menopause Support,Yuzucare,True,4,no,
Zyrtec,Zyrtec,False,4,no,
this one,this one,False,4,no,
this supplement,this supplement,False,4,no,
my supplements,,False,3,no,
adaptogen,Adaptogen,True,3,no,
almonds,Almonds,False,3,no,
antacids,Antacids,True,3,no,
Ashwaganda,Ashwagandha,True,3,no,
B vitamin complex,B Vitamin,True,3,no,
B Vitamins,B Vitamins,True,3,no,
methylated B vitamins,B Vitamins,True,3,no,
Beef Organ Supplement for Wone,Beef Organ,True,3,no,
Beef Organ Supplements,Beef Organ,True,3,no,
Beeya,Beeya,True,3,no,
Topical Benadryl,Benadryl,False,3,no,
Berberine + Inositol,Berberine,True,3,no,
Bioidentical Hormone Replacement Therapy (BHRT),Bioidentical Hormone Replacement Therapy,False,3,no,
menopause,Black Cohosh,True,3,no,
Blueberries,Blueberries,False,3,no,
boron,Boron,True,3,no,
Brahmi,Brahmi,True,3,no,
CBT,CBT,False,3,no,
Calcio,Calcium,True,3,no,
Chaste Berry,Chaste Berry,True,3,no,
chaste tree berry,Chaste Tree Berry,True,3,no,
cholesterol,Cholesterol,False,3,no,
chromium,Chromium,True,3,no,
clonidine,Clonidine,False,3,no,
hydrolyzed collagen,Collagen,True,3,no,
Colostrum,Colostrum,True,3,no,
Daily Cortisol Support,Cortisol,True,3,no,
Creatine monohydrate,Creatine,True,3,no,
creatina,Creatine,True,3,no,
Komi Wellness Creatine Therapy,Creatine,True,3,no,
curcumin,Curcumin,True,3,no,
Vaginal DHEA,DHEA,True,3,no,
Digestive/Pancreatic Enzymes,Digestive Enzymes,True,3,no,
Divigel,Divigel,True,3,no,
Dong quai,Dong Quai,True,3,no,
Edamame,Edamame,False,3,no,
estradiol,Estradiol,True,3,no,
Estradiol,Estradiol,False,3,no,
estradiol patch,Estradiol,False,3,no,
estrogen cream,Estrogen,False,3,no,
estrogen therapy,Estrogen,False,3,no,
topical estrogen,Estrogen,False,3,no,
fan,Fan,False,3,no,
fennel,Fennel,True,3,no,
fezolinetant,Fezolinetant,True,3,no,
soluble fiber,Fiber,True,3,no,
The Pause Nutrition Fiber (Unflavored),Fiber,True,3,no,
Pause Nutrition Fiber (flavorless),Fiber,True,3,no,
The Pause Life Fiber,Fiber,True,3,no,
fiber-gdx,Fiber,True,3,no,
Folic acid,Folic Acid,True,3,no,
B9,Folic Acid,True,3,no,
gel,Gel,False,3,no,
glucose,Glucose,False,3,no,
gokshura,Gokshura,True,3,no,
green tea extract,Green Tea,True,3,no,
herbs,Herbs,False,3,no,
hormonal therapy,Hormonal Therapy,False,3,no,
hormone treatments,Hormone,False,3,no,
New York Times bestselling book How To Menopause,How To Menopause,False,3,no,
Hyuralonic acid,Hyaluronic Acid,True,3,no,
I Choose Me,I Choose Me,False,3,no,
IRIS,IRIS,False,3,no,
iodine,Iodine,True,3,no,
KivoCove's lymphatic drops,KivoCove's Lymphatic Drops,True,3,no,
L-Glutamine,L-Glutamine,True,3,no,
L-Theanine,L-Theanine,True,3,no,
legumes,Legumes,False,3,no,
lion's mane mushroom,Lion's Mane,True,3,no,
MENO,MENO,True,3,no,
MHT,MHT,True,3,no,
MQ Motion Patches,MQ Motion Patches,False,3,no,
Magnésium,Magnesium,True,3,no,
magnesiumglycinate,Magnesium,True,3,no,
Magnesium + Vitamins C & B6,Magnesium,True,3,no,
Magnesium Supplement For Menopause,Magnesium,True,3,no,
Magnésio,Magnesium,True,3,no,
mangoes,Mango,False,3,no,
Melatonin,Melatonin,True,3,no,
Menachill,Menachill,True,3,no,
Meno-chill,Meno-chill,True,3,no,
MenoFriend®,MenoFriend,True,3,no,
Menopace,Menopace,True,3,no,
Menopause Brain Reset guide,Menopause Brain Reset,False,3,no,
Menopause Energized,Menopause Energized,True,3,no,
menopause gummies,Menopause Gummies,True,3,no,
Nature's Bounty Advanced Menopause Relief,Menopause Relief,True,3,no,
Menoveda,Menoveda,True,3,no,
Microlearning Courses,Microlearning Courses,False,3,no,
Milk Thistle,Milk Thistle,True,3,no,
minoxidil,Minoxidil,True,3,no,
moringa,Moringa,True,3,no,
myo‑inositol,Myo-Inositol,True,3,no,
Nello Super Balance,Nello Super Balance,True,3,no,
Nello SuperBalance,Nello SuperBalance,True,3,no,
fruits and vegetables,Not a supplement,False,3,no,
acupuncture,Not a supplement,False,3,no,
leafy greens,Not a supplement,False,3,no,
avocados,Not a supplement,False,3,no,
patches,Not a supplement,False,3,no,
nutrition,Not a supplement,False,3,no,
hot flashes,Not a supplement,False,3,no,
cooling blanket,Not a supplement,False,3,no,
Nutrafol,Nutrafol,True,3,no,
Ocean program,Ocean,False,3,no,
olive oil,Olive Oil,False,3,no,
Omega‑3 fatty acids,Omega-3,True,3,no,
Omega-3 vitamin D and vitamin K combo,Omega-3,True,3,no,
omegas,Omega-3,True,3,no,
omega-3 fish oil,Omega-3,True,3,no,
Omega 3 + Vitamin D + K2,Omega-3,True,3,no,
Pause Nutrition Skin & Bone (flavorless collagen),Pause Nutrition Skin & Bone,True,3,no,
Peach Perfect Menopause Multivitamin,Peach Perfect,True,3,no,
Peach Perfect,Peach Perfect,False,3,no,
PeriMenoFriend,PeriMenoFriend,True,3,no,
Perimenopause Health,Perimenopause Health,False,3,no,
Perimenopause Multi-Nutrient Support,Perimenopause Multi-Nutrient Support,True,3,no,
postbiotic,Postbiotic,True,3,no,
bioidentical progesterone,Progesterone,True,3,no,
high protein diet,Protein,False,3,no,
proteína,Protein,True,3,no,
ragi,Ragi,True,3,no,
red raspberry leaf,Red Raspberry Leaf,True,3,no,
Well3 Lyophilized Royal Jelly,Royal Jelly,True,3,no,
Runica 4-in-1,Runica 4-in-1,True,3,no,
Runica 4in1,Runica 4in1,False,3,no,
SECA30,SECA30,False,3,no,
Saccharomyces Boulardii,Saccharomyces Boulardii,True,3,no,
Saffron Extract,Saffron,True,3,no,
salmon,Salmon,False,3,no,
sesame seeds,Sesame,False,3,no,
SimplyWise Eating,SimplyWise,False,3,no,
The Pause Nutrition Skin & Bone Collagen (Unflavored),Skin & Bone Collagen,True,3,no,
The Pause Nutrition Skin + Bone Collagen,Skin + Bone Collagen,True,3,no,
Skin and Bone,Skin and Bone,False,3,no,
Slippery elm,Slippery Elm,True,3,no,
soy foods,Soy,False,3,no,
Komi Wellness Stress Harmony,Stress Harmony,True,3,no,
taurine,Taurine,True,3,no,
Testosterone therapy,Testosterone,False,3,no,
The Bridge System Method,The Bridge System Method,False,3,no,
The Galveston Diet Book,The Galveston Diet,False,3,no,
Thermella,Thermella,True,3,no,
The Thermogenic State,Thermogenic,True,3,no,
Totaria 40-in-1 Menopause Supplements for Women,Totaria,True,3,no,
Totaria 40-in-1 Menopause Supplements,Totaria,True,3,no,
Unbreakable Bone Health formula,Unbreakable Bone Health,True,3,no,
Veozah,Veozah,True,3,no,
Vibrancy Blend,Vibrancy Blend,True,3,no,
methylcobalamin,Vitamin B12,True,3,no,
Lipo B12,Vitamin B12,True,3,no,
Vitamina D3,Vitamin D,True,3,no,
bone health,Vitamin D,True,3,no,
Vitamin D3 & K2,Vitamin D,True,3,no,
Viviscal,Viviscal,True,3,no,
water,Water,False,3,no,
WeatherX ear plugs,WeatherX,False,3,no,
wild yam cream,Wild Yam,True,3,no,
Yoga,Yoga,False,3,no,
antidepressant,antidepressant,False,3,no,
birth control pills,birth control pills,False,3,no,
intermittent fasting,intermittent fasting,False,3,no,
lentils,lentils,False,3,no,
my new book,my new book,False,3,no,
neck fan,neck fan,False,3,no,
zucchini,zucchini,False,3,no,
A.Vogel Balance Perimenopause Multi-nutrient drink,A.Vogel Balance Perimenopause Multi-nutrient,True,2,no,
acupressure,Acupressure,False,2,no,
Acupuncture,Acupuncture,False,2,no,
adrenals,Adrenals,False,2,no,
almond milk,Almond Milk,False,2,no,
Almond Milk,Almond Milk,False,2,no,
almond oil,Almond Oil,False,2,no,
amla,Amla,True,2,no,
apigenin,Apigenin,True,2,no,
Apigenin,Apigenin,True,2,no,
Arctic Air Cool Touch Portable Fan,Arctic Air,False,2,no,
ASHWAGANDHA,Ashwagandha,True,2,no,
Ashwagandha KSM-66,Ashwagandha,True,2,no,
astaxanthin,Astaxanthin,True,2,no,
Ayurveda,Ayurveda,False,2,no,
B Complex,B Complex,True,2,no,
Methylated B vitamins,B Vitamins,True,2,no,
All B vitamins in methylated form,B Vitamins,True,2,no,
B Vitamins (B6 & B12),B Vitamins,True,2,no,
B-Complex Vitamins,B-Complex,True,2,no,
B-Complex vitamins,B-Complex,True,2,no,
Balance app,Balance,False,2,no,
Balance Tonic Menopause,Balance Tonic,True,2,no,
Banana,Banana,False,2,no,
Barefoot Scientist,Barefoot Scientist,False,2,no,
beans,Beans,False,2,no,
beet juice,Beet Juice,True,2,no,
Berb+Inos,Berberine,True,2,no,
Bijuve,Bijuve,True,2,no,
Black Cohosh (Actaea racemosa),Black Cohosh,True,2,no,
black girl vitamins,Black Girl Vitamins,True,2,no,
Black seed oil,Black Seed Oil,True,2,no,
Blackberry Leaf,Blackberry Leaf,True,2,no,
blood orange,Blood Orange,False,2,no,
BLOOD SUGAR,Blood Sugar,False,2,no,
blueberry,Blueberry,False,2,no,
Bonafide Revere,Bonafide Revere,False,2,no,
Brazil nuts,Brazil Nuts,True,2,no,
Broccoli,Broccoli,False,2,no,
broccoli sprouts,Broccoli Sprouts,True,2,no,
Brussels sprouts,Brussels Sprouts,False,2,no,
CBD,CBD,True,2,no,
calcium and vitamin D,Calcium,True,2,no,
calcium supplements,Calcium,True,2,no,
Calcium and magnesium,Calcium,True,2,no,
calcio,Calcium,True,2,no,
Calcium plus magnesium,Calcium,True,2,no,
calcium D-glucarate,Calcium D-Glucarate,True,2,no,
Calcium D-glucarate,Calcium D-Glucarate,True,2,no,
carbohydrates,Carbohydrates,False,2,no,
carboidrati,Carbohydrates,False,2,no,
supportive carbs,Carbs,False,2,no,
carnivore diet,Carnivore Diet,False,2,no,
carrots,Carrots,False,2,no,
castor oil,Castor Oil,True,2,no,
chamomile tea,Chamomile,True,2,no,
chaste berry,Chaste Berry,True,2,no,
Chaste tree berries (Vitex agnus castus),Chaste Tree,True,2,no,
cheese,Cheese,False,2,no,
Chia seeds,Chia,True,2,no,
chia,Chia,True,2,no,
Chia Seeds Sprouted,Chia Seeds,True,2,no,
choline,Choline,True,2,no,
Cinnamon (Cinnamomum),Cinnamon,True,2,no,
Cleanmarine Menomin,Cleanmarine Menomin,True,2,no,
ClimaFort,ClimaFort,True,2,no,
Climera,Climera,True,2,no,
Coq10,CoQ10,True,2,no,
"Garden of Life CoQ10 200mg, Vegetarian Omega 3 6 9 Supplement",CoQ10,True,2,no,
cocoa,Cocoa,True,2,no,
Coconut milk,Coconut Milk,False,2,no,
cod liver oil,Cod Liver Oil,True,2,no,
coenzima Q10,Coenzyme Q10,True,2,no,
coffee,Coffee,False,2,no,
"Collagen (Verisol for skin, Fortibone for bones)",Collagen,True,2,no,
Key Collagen,Collagen,True,2,no,
collagen with verisol and Fortibone,Collagen,True,2,no,
Skin & Bone Collagen,Collagen,True,2,no,
Collagen Powder,Collagen,True,2,no,
The Pause Nutrition skin and bone collagen (flavorless),Collagen,True,2,no,
Revive Collagen Menopause Max,Collagen,True,2,no,
Colostrum (IgG),Colostrum,True,2,no,
colostrum,Colostrum,True,2,no,
copper,Copper,True,2,no,
cordyceps,Cordyceps,True,2,no,
cortisol support,Cortisol,False,2,no,
cortisol,Cortisol,True,2,no,
cottage cheese,Cottage Cheese,False,2,no,
cranberry probiotics,Cranberry,True,2,no,
Pause Nutrition Creatine,Creatine,True,2,no,
Creatine Monohydrate,Creatine,True,2,no,
Créatine,Creatine,True,2,no,
Cynatine®,Cynatine,True,2,no,
D,D,True,2,no,
